Composite.Element.Name	Composite.Element.Database.Entry[hugo]
ADXCRAG_U85198_s_at	TRAV41
ADXCRAG_AF000148_at	ABCA4
ADXCRAD_BG288564_s_at	CDC14A
ADXCRAG_AF000992_s_at	UTX
ADXCRAG_AF000994_at	UTY
ADXCRAD_BP278990_s_at	UTY
ADXCRAG_AF001160_at	GNGT2
ADXCRAG_AF001362_s_at	JAK2
ADXCRAG_AF001691_at	PPL
ADXCRAD_CB046316_s_at	PPL
ADXCRAG_AF001893_x_at	TncRNA
ADXCRAD_BM477890_s_at	CCS
ADXCRAG_AF002246_s_at	CHL1
ADXCRAG_AF002697_at	BNIP3
ADXCRAG_AF003092_at	ST8SIA3
ADXCRAG_AF004231_s_at	LILRB2
ADXCRAG_AF005067_s_at	BRD1
ADXCRAG_AF005209_at	CDC7
ADXCRAG_AF005654_s_at	ABLIM1
ADXCRAD_CN340815_s_at	DVL3
ADXCRAG_AF006513_s_at	CHD1
ADXCRAG_AF006514_at	CHD2
ADXCRAG_AF006621_s_at	SLC30A9
ADXCRAG_AF006751_s_at	RRBP1
ADXCRAG_AF007135_at	JARID1A
ADXCRAG_AF007135_x_at	JARID1A
ADXCRAG_AF007142_s_at	DICER1
ADXCRAG_AF007149_s_at	LOC257407
ADXCRAG_AF007866_at	RAD54B
ADXCRAG_AF007866_x_at	RAD54B
ADXCRAD_CA773213_s_at	EVI5
ADXCRAG_AF009301_at	MARCH6
ADXCRAD_AW149507_s_at	MARCH6
ADXCRAG_AF009301_x_at	MARCH6
ADXCRAG_AF009314_at	SEMA5A
ADXCRAD_AL544713_s_at	SEMA5A
ADXCRAG_AF009615_s_at	ADAM10
ADXCRAG_AF010403_s_at	MLL2
ADXCRAG_AF011568_s_at	CLOCK
ADXCRAG_AF011573_at	ZNF197
ADXCRAG_AF015041_at	NUMBL
ADXCRAG_AF015257_s_at	GPER
ADXCRAG_AF016005_s_at	RERE
ADXCRAG_AF016052_at	ZNF24
ADXCRAG_AF016266_s_at	TNFRSF10B
ADXCRAG_AF016272_at	CDH16
ADXCRAG_AF016370_s_at	PRPF3
ADXCRAG_AF018164_at	KIF3C
ADXCRAG_AF019386_at	HS3ST1
ADXCRAD_CN271745_s_at	CLEC11A
ADXCRAG_AF022152_at	AP3B2
ADXCRAG_AF022152_x_at	AP3B2
ADXCRAG_AF023158_s_at	CDC14B
ADXCRAG_AF023268_at	C1orf2
ADXCRAG_AF023268_x_at	C1orf2
ADXCRAG_AF023453_s_at	ACTR3B
ADXCRAG_AF023476_s_at	ADAM12
ADXCRAG_AF023477_at	ADAM12
ADXCRAG_AF023614_at	TNFRSF13B
ADXCRAG_AF023614_x_at	TNFRSF13B
ADXCRAG_AF025293_at	
ADXCRAG_AF025300_at	SMAD3
ADXCRAD_BP389886_s_at	ZNF189
ADXCRAG_AF025841_at	RUNX1
ADXCRAG_AF026126_at	HNRPD
ADXCRAG_AF026692_s_at	SFRP4
ADXCRAG_AF026816_s_at	ITPA
ADXCRAG_AF027156_s_at	MAN1A2
ADXCRAG_AF027218_at	
ADXCRAG_AF027302_s_at	ABCF1
ADXCRAG_AF028828_at	SNTB1
ADXCRAG_AF029403_at	CYP7B1
ADXCRAG_AF029750_at	TAPBP
ADXCRAD_BP267166_s_at	TAPBP
ADXCRAG_AF029780_at	KCNF1
ADXCRAG_AF030111_at	RGS12
ADXCRAG_AF030111_x_at	RGS12
ADXCRAG_AF030186_at	GPC4
ADXCRAD_BP295469_s_at	GPC4
ADXCRAG_AF030297_s_at	CXCR7
ADXCRAG_AF030514_s_at	CXCL11
ADXCRAG_AF030698_x_at	SEMA7A
ADXCRAG_AF031416_at	IKBKB
ADXCRAG_AF031416_s_at	IKBKB
ADXCRAG_AF032111_s_at	ZNRD1
ADXCRAG_AF032387_s_at	SNAPC4
ADXCRAG_AF033827_s_at	CHST10
ADXCRAG_AF034374_at	MOCS1
ADXCRAG_AF034374_x_at	MOCS1
ADXCRAG_AF034611_x_at	CUBN
ADXCRAG_AF034802_s_at	PPFIBP1
ADXCRAG_AF035121_at	KDR
ADXCRAD_BM716094_s_at	KDR
ADXCRAG_AF035152_at	RGS12
ADXCRAG_AF035282_s_at	C1orf21
ADXCRAD_CD679597_s_at	PAM
ADXCRAD_BU581564_s_at	TCF21
ADXCRAG_AF036927_s_at	ADCY9
ADXCRAG_AF038007_at	ATP8B1
ADXCRAG_AF038174_s_at	C9orf91
ADXCRAD_BM929691_s_at	DKFZP761N09121
ADXCRAG_AF038362_s_at	BTAF1
ADXCRAG_AF038536_s_at	C11orf9
ADXCRAG_AF038563_s_at	MAGI2
ADXCRAG_AF038963_s_at	DDX58
